Variable,Description,SurveyQuestion
conjudge,confid. in united states supreme court,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. J. U.S. Supreme Court"
conlegis,confidence in congress,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. L. Congress"
conunion,workers and management in conflict?,"In all countries, there are differences or conflicts between different social groups. In your opinion, in America, how much conflict is there between . . . D. Management and workers?"
conwlth,conflict between poor and rich in usa?,"In all countries, there are differences or conflicts between different social groups. In your opinion, in America, how much conflict is there between . . . A. Poor people and rich people?"
cooking1,who in household prepares the meals,In your household who does the following things...? F. Prepares the meals?
courts,courts dealing with criminals,"In general, do you think the courts in this area deal too harshly or not harshly enough with criminals?"
cowrkhlp,coworkers can be relied on when r needs help,"Now I''m going to read you another list of statements about your main job. For each, please tell me if the statement is very true, somewhat true, not too true, or not at all true with respect to the work you do. N. The people I work with can be relied on when I need help"
crack30,r last use crack cocaine,How long has it been since you last used “crack” cocaine in chunk or rock form?
dangroth,x should be admitted to be hospitalized for treatment if dangerous to others,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... E. Be admitted to a hospital for treatment if s/he is dangerous to others.
dangrslf,x should be admitted to be hospitalized for treatment if dangerous to x,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... D. Be admitted to a hospital for treatment if s/he is dangerous to him/herself.
decmoney,how able is x to decide managing own money,"In your opinion, how able is NAME to make his/her own decisions about managing his/her own money -- very able, somewhat able, not very able or not able at all?"
dectreat,how able is x to decide receive treatment,"In your opinion, how able is NAME to make his/her own decisions about the treatment s/he should receive -- very able, somewhat able, not very able or not able at all?"
